,Hotel,Resort name,Price,Country
31,DU LEMAN HOTEL 3 *DBL,ПарижPARISПариж,1 222,Франция
32,APOLLO OPERA HOTEL 3 *DBL,ПарижPARISПариж,1 228,Франция
33,RIVIERA HOTEL (PARIS) 3 *DBL,ПарижPARISПариж,1 234,Франция
34,SIBOUR HOTEL 2 *DBL,ПарижPARISПариж,1 242,Франция
35,DE LA HAVANE HOTEL 3 *DBL,ПарижPARISПариж,1 242,Франция
36,JEFF HOTEL 2 *DBL,ПарижPARISПариж,1 242,Франция
37,CALVADOS HOTEL 3 *DBL,ПарижPARISПариж,1 246,Франция
38,LUXIA HOTEL 2 *TWIN,ПарижPARISПариж,1 273,Франция
39,PARIS CLASSIC ECONOMY 2 *DBL,Экскурсионные туры - ПарижPARISПариж,1 279,Франция
40,JEFF HOTEL 2 *DBL,ПарижPARISПариж,1 287,Франция
41,DE LA HAVANE HOTEL 3 *DBL,ПарижPARISПариж,1 287,Франция
42,SIBOUR HOTEL 2 *DBL,ПарижPARISПариж,1 287,Франция
43,PAVILLON VILLIERS ETOILE 3* SuperDBL Classic,ПарижPARISПариж,1 294,Франция
44,ALTONA 2 *DBL,ПарижPARISПариж,1 306,Франция
45,VILLA LAFAYETTE PARIS IX 3 *Guest Room,ПарижPARISПариж,1 306,Франция
46,TRINITE HAUSSMANN 4 *DBL Standard,ПарижPARISПариж,1 326,Франция
47,REGINA OPERA GRAND BOULEVARD 4 *DBL,ПарижPARISПариж,1 334,Франция
48,SIBOUR HOTEL 2 *DBL,ПарижPARISПариж,1 342,Франция
49,DE LA HAVANE HOTEL 3 *DBL,ПарижPARISПариж,1 342,Франция
50,PAVILLON OPERA BOURSE 3* SuperDBL Classic,ПарижPARISПариж,1 342,Франция
51,PAVILLON OPERA GRANDS BOULEVARDS 3* SuperiorDBL Classic,ПарижPARISПариж,1 342,Франция
52,JEFF HOTEL 2 *DBL,ПарижPARISПариж,1 342,Франция
53,FIAT HOTEL 2 *DBL,ПарижPARISПариж,1 343,Франция
54,BEST WESTERN PARIS GARE ST LAZARE 4 *DBL,ПарижPARISПариж,1 346,Франция
55,CITY EXPRESS PARIS STANDARD 3 *DBL,Экскурсионные туры - ПарижPARISПариж,1 349,Франция
56,ROYAL FROMENTIN 3 *DBL,ПарижPARISПариж,1 350,Франция
57,PAVILLON VILLIERS ETOILE 3* SuperDBL Classic,ПарижPARISПариж,1 352,Франция
58,AVENIR HOTEL 2 *DBL,ПарижPARISПариж,1 357,Франция
59,VILLA LAFAYETTE PARIS IX 3 *Guest Room,ПарижPARISПариж,1 367,Франция
60,PARIS CITY WALKS STANDARD 3 *DBL,Экскурсионные туры - ПарижPARISПариж,1 370,Франция
61,PARIS & VERSAILLES ECONOMY 2 *DBL,Экскурсионные туры - ПарижPARISПариж,1 370,Франция
62,VILLA LAFAYETTE PARIS IX 3 *Urban Deluxe,ПарижPARISПариж,1 370,Франция
63,DU LEMAN HOTEL 3 *DBL,ПарижPARISПариж,1 371,Франция
64,VILLA EUGENIE 4 *DBL Classic,ПарижPARISПариж,1 378,Франция
65,APOLLO OPERA HOTEL 3 *DBL,ПарижPARISПариж,1 378,Франция
66,PARIS & CHAMPAGNE ECONOMY 2 *DBL,Экскурсионные туры - ПарижPARISПариж,1 384,Франция
67,RIVIERA HOTEL (PARIS) 3 *DBL,ПарижPARISПариж,1 385,Франция
68,PARIS & NORMANDY ECONOMY 2 *DBL,Экскурсионные туры - ПарижPARISПариж,1 391,Франция
